CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0056,0.9999999749520845
C0001,C0011,0.9999999732548709
C0001,C0193,0.9999999709313261
C0002,C0029,0.9999999623589375
C0002,C0031,0.999999897212315
C0002,C0071,0.9999997899963186
C0003,C0075,0.9999999191845937
C0003,C0027,0.9999998879415979
C0003,C0160,0.999999879558532
C0004,C0175,0.9999999802572007
C0004,C0162,0.9999999617065234
C0004,C0017,0.9999999565574025
C0005,C0131,0.9999999801308439
C0005,C0167,0.9999999556551503
C0005,C0177,0.9999999363083364
C0006,C0079,0.9999999998432322
C0006,C0117,0.9999999879477113
C0006,C0054,0.9999999791646917
C0007,C0092,0.9999999353208157
C0007,C0085,0.9999999170932696
C0007,C0167,0.9999998991542185
C0008,C0088,0.9999999725979637
C0008,C0076,0.9999999328873811
C0008,C0047,0.9999998717275301
C0009,C0128,0.9999990273897219
C0009,C0198,0.9999985376610283
C0009,C0015,0.9999968687840528
C0010,C0029,0.999999027784188
C0010,C0091,0.9999988401090788
C0010,C0002,0.999998648528739
C0011,C0125,0.9999999924478182
C0011,C0065,0.9999999895012538
C0011,C0193,0.9999999854077525
C0012,C0153,0.9999999884048055
C0012,C0057,0.9999999772225323
C0012,C0101,0.9999999673225088
C0013,C0059,0.999999979845158
C0013,C0051,0.9999999775239163
C0013,C0100,0.9999999763992206
C0014,C0058,0.9999895550379874
C0014,C0150,0.9999779810824723
C0014,C0083,0.9999776327176518
C0015,C0095,0.9999998170120205
C0015,C0063,0.999999755504518
C0015,C0123,0.9999995518762504
C0016,C0158,0.9999999413961538
C0016,C0187,0.9999999381199532
C0016,C0051,0.9999999089637817
C0017,C0106,0.9999999775290809
C0017,C0072,0.9999999741285275
C0017,C0162,0.999999967763188
C0018,C0041,0.9999999584496406
C0018,C0045,0.9999999530299648
C0018,C0012,0.9999999427052142
C0019,C0157,0.9999999492912925
C0019,C0172,0.9999998793246746
C0019,C0088,0.9999997761835756
C0020,C0080,0.9999998867823114
C0020,C0110,0.9999995027797535
C0020,C0015,0.9999991770854971
